lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
2.10000e-01 8.07892e-01 7.37045e-01 4.89990e-01 1.21933e-01 1.11894e-02 2.19766e-01 3.29980e-01 6.59959e-01 1.31992e+00 1.97988e+00
2.20000e-01 8.00490e-01 7.25299e-01 4.66837e-01 1.00492e-01 1.27197e-02 2.30231e-01 3.45693e-01 6.91386e-01 1.38277e+00 2.07416e+00
2.30000e-01 7.95061e-01 7.14248e-01 4.44320e-01 8.17389e-02 1.19028e-02 2.40697e-01 3.61406e-01 7.22812e-01 1.44562e+00 2.16844e+00
2.40000e-01 7.85702e-01 7.00853e-01 4.21857e-01 6.53415e-02 9.89255e-03 2.51162e-01 3.77120e-01 7.54239e-01 1.50848e+00 2.26272e+00
2.50000e-01 7.78466e-01 6.89303e-01 4.00491e-01 5.16374e-02 6.74653e-03 2.61627e-01 3.92833e-01 7.85666e-01 1.57133e+00 2.35700e+00
2.60000e-01 7.71695e-01 6.77538e-01 3.79036e-01 3.95329e-02 3.96515e-03 2.72092e-01 4.08546e-01 8.17092e-01 1.63418e+00 2.45128e+00
2.70000e-01 7.63890e-01 6.65328e-01 3.58331e-01 2.99938e-02 1.46286e-03 2.82557e-01 4.24260e-01 8.48519e-01 1.69704e+00 2.54556e+00
2.80000e-01 7.57157e-01 6.53933e-01 3.38158e-01 2.21119e-02 2.03788e-03 2.93022e-01 4.39973e-01 8.79946e-01 1.75989e+00 2.63984e+00
2.90000e-01 7.49703e-01 6.41605e-01 3.18599e-01 1.61098e-02 4.01508e-03 3.03487e-01 4.55686e-01 9.11372e-01 1.82274e+00 2.73412e+00
3.00000e-01 7.43448e-01 6.30189e-01 2.99709e-01 1.13982e-02 4.88500e-03 3.13952e-01 4.71399e-01 9.42799e-01 1.88560e+00 2.82840e+00
3.10000e-01 7.35429e-01 6.17949e-01 2.81171e-01 7.14296e-03 4.64742e-03 3.24417e-01 4.87113e-01 9.74226e-01 1.94845e+00 2.92268e+00
3.20000e-01 7.25957e-01 6.04996e-01 2.63396e-01 4.74236e-03 4.23797e-03 3.34882e-01 5.02826e-01 1.00565e+00 2.01130e+00 3.01696e+00
3.30000e-01 7.20247e-01 5.93954e-01 2.46570e-01 2.64349e-03 3.18608e-03 3.45347e-01 5.18539e-01 1.03708e+00 2.07416e+00 3.11124e+00
3.40000e-01 7.12143e-01 5.81649e-01 2.29872e-01 1.96378e-03 2.25741e-03 3.55812e-01 5.34253e-01 1.06851e+00 2.13701e+00 3.20552e+00
3.50000e-01 7.04252e-01 5.69820e-01 2.14653e-01 1.71221e-03 1.40279e-03 3.66277e-01 5.49966e-01 1.09993e+00 2.19986e+00 3.29980e+00
