time difference
1.46250e+01 -6.50297e-01
1.46667e+01 -1.48741e+01
1.47083e+01 -4.22102e+00
1.47500e+01 7.25968e+00
1.47917e+01 1.16226e+01
1.48333e+01 2.24648e-01
1.48750e+01 3.88996e+00
1.49167e+01 1.60209e+01
1.49583e+01 -8.40656e+00
1.50000e+01 8.74945e-01
1.50417e+01 1.85512e+01
1.50833e+01 1.34198e+01
1.51250e+01 -1.49805e+01
1.51667e+01 1.32779e+01
1.52083e+01 -2.41674e+01
1.52500e+01 1.70851e+01
1.52917e+01 -1.43302e+01
1.53333e+01 -5.35608e+00
1.53750e+01 -9.63622e+00
1.54167e+01 2.32806e+01
1.54583e+01 9.55345e+00
1.55000e+01 -1.45312e+01
1.55417e+01 5.68714e+00
1.55833e+01 -1.18827e+01
1.56250e+01 1.28877e+00
1.56667e+01 1.94498e+01
1.57083e+01 2.31742e+00
1.57500e+01 -1.24857e+01
1.57917e+01 7.93362e+00
1.58333e+01 2.04548e+00
1.58750e+01 6.00638e+00
1.59167e+01 2.87313e+00
1.59583e+01 1.01210e+01
1.60000e+01 2.15071e+01
1.60417e+01 4.72943e+00
1.60833e+01 3.09778e+00
1.61250e+01 9.38792e+00
1.61667e+01 1.37508e+01
1.62083e+01 1.19418e+00
1.62500e+01 6.29014e+00
1.62917e+01 -1.74398e+01
1.63333e+01 -3.87813e+00
1.63750e+01 -8.79674e+00
1.64167e+01 2.50542e+01
1.64583e+01 7.80356e-01
1.65000e+01 1.29941e+01
1.65417e+01 1.57608e+01
1.65833e+01 -1.22847e+01
1.66250e+01 -3.19237e-01
1.66667e+01 7.81538e+00
1.67083e+01 -7.98091e+00
1.67500e+01 2.05257e+01
1.67917e+01 5.91179e-01
1.68333e+01 -2.09277e+00
1.68750e+01 -1.53707e+00
1.69167e+01 2.89678e+00
1.69583e+01 7.80356e+00
1.70000e+01 3.94907e+00
1.70417e+01 -1.73334e+01
1.70833e+01 3.83084e+00
1.71250e+01 -1.54771e+01
1.71667e+01 1.88113e+01
1.72083e+01 9.36427e+00
1.72500e+01 -3.07413e-01
1.72917e+01 9.89633e+00
1.73333e+01 4.83584e+00
1.73750e+01 9.45886e-02
1.74167e+01 -8.86768e-01
1.74583e+01 -9.50616e+00
1.75000e+01 9.54163e+00
1.75417e+01 -1.13625e+01
1.75833e+01 -4.36290e+00
1.76250e+01 -1.55007e+01
1.76667e+01 -1.48977e+00
1.77083e+01 -6.97591e-01
1.77500e+01 1.81610e+01
1.77917e+01 -5.09596e+00
1.78333e+01 -1.36444e+01
1.78750e+01 -2.48295e+00
1.79167e+01 -2.29732e+01
1.79583e+01 5.88814e+00
1.80000e+01 1.63993e+01
1.80417e+01 1.70260e+00
1.80833e+01 8.40656e+00
1.81250e+01 -1.42947e+01
1.81667e+01 8.37109e+00
1.82083e+01 -1.75107e+01
1.82500e+01 -8.72580e+00
1.82917e+01 1.86694e+01
1.83333e+01 1.78654e+01
1.83750e+01 1.31478e+01
1.84167e+01 1.37154e+00
1.84583e+01 5.00137e+00
1.85000e+01 -5.42702e+00
1.85417e+01 7.79174e+00
